time,somsc
1980,10680.303
1981,10810.771
1982,10565.428
1983,10294.016
1984,10093.329
1985,9886.732
1986,9688.82
1987,9508.561
1988,9346.216
1989,9161.168
1990,9035.796
1991,8923.187
1992,8838.314
1993,8729.969
1994,8611.349
1995,8494.972
1996,8412.757
1997,8333.207
1998,8274.559
1999,8214.905
2000,8178.021
2001,8136.947
2002,8135.966
2002,8135.966
2002.08,8135.904
2002.17,8135.667
2002.25,8135.106
2002.33,8150.343
2002.42,8145.257
2002.5,8143.231
2002.58,8142.317
2002.67,8137.976
2002.75,8132.649
2002.83,8136.302
2002.92,8151.226
2003,8156.857
2003.08,8160.261
2003.17,8164.052
2003.25,8168.667
2003.33,8205.042
2003.42,8209.34
2003.5,8209.595
2003.58,8207.302
2003.67,8206.579
2003.75,8205.463
2003.83,8206.682
2003.92,8213.174
2004,8215.543
2004.08,8216.693
2004.17,8217.386
2004.25,8217.835
2004.33,8273.793
2004.42,8279.871
2004.5,8282.687
2004.58,8282.387
2004.67,8280.878
2004.75,8278.76
2004.83,8280.87
2004.92,8291.382
2005,8300.559
2005.08,8304.942
2005.17,8311.954
2005.25,8318.739
2005.33,8370.453
2005.42,8376.219
2005.5,8378.141
2005.58,8374.992
2005.67,8372.383
2005.75,8372.188
2005.83,8376.283
2005.92,8382.163
2006,8384.524
2006.08,8385.916
2006.17,8386.531
2006.25,8386.959
2006.33,8452.609
2006.42,8458.574
2006.5,8463.292
2006.58,8465.271
2006.67,8466.186
2006.75,8463.386
2006.83,8469.239
2006.92,8485.392
2007,8492.277
2007.08,8497.068
2007.17,8500.523
2007.25,8505.461
2007.33,8547.096
2007.42,8547.944
2007.5,8546.449
2007.58,8545.317
2007.67,8541.361
2007.75,8534.956
2007.83,8534.844
2007.92,8539.82
2008,8541.383
2008.08,8542.146
2008.17,8542.595
2008.25,8542.668
2008.33,8595.035
2008.42,8601.381
2008.5,8606.575
2008.58,8604.882
2008.67,8604.438
2008.75,8601.41
2008.83,8610.707
2008.92,8627.636
2009,8633.128
2009.08,8637.393
2009.17,8640.996
2009.25,8644.908
2009.33,8688.195
2009.42,8690.272
2009.5,8688.996
2009.58,8683.445
2009.67,8677.338
2009.75,8674.705
2009.83,8675.26
2009.92,8679.712
2010,8680.829
2010.08,8681.281
2010.17,8681.303
2010.25,8680.981
2010.33,8732.113
2010.42,8731.371
2010.5,8731.913
2010.58,8728.002
2010.67,8722.117
2010.75,8715.823
2010.83,8723.373
2010.92,8739.115
2011,8744.891
2011.08,8748.42
2011.17,8752.365
2011.25,8756.524
2011.33,8798.374
2011.42,8800.034
2011.5,8798.974
2011.58,8794.057
2011.67,8788.127
2011.75,8781.84
2011.83,8781.109
2011.92,8785.703
2012,8787.446
2012.08,8788.203
2012.17,8788.429
2012.25,8787.553
2012.33,8837.248
2012.42,8833.771
2012.5,8834.854
2012.58,8834.744
2012.67,8834.48
2012.75,8831.928
2012.83,8844.134
2012.92,8862.166
2013,8869.5
2013.08,8873.795
2013.17,8877.129
2013.25,8880.24
2013.33,8926.713
2013.42,8927.692
2013.5,8926.24
2013.58,8922.645
2013.67,8919.627
2013.75,8916.115
2013.83,8914.623
2013.92,8918.446
2014,8919.396
2014.08,8919.779
2014.17,8919.929
2014.25,8919.751
2014.33,8973.807
2014.42,8976.726
2014.5,8980.223
2014.58,8977.85
2014.67,8975.079
2014.75,8969.016
2014.83,8975.504
2014.92,8987.669
2015,8993.453
2015.08,8997.395
2015.17,9000.375
2015.25,9003.66
2015.33,9039.59
2015.42,9035.204
2015.5,9030.26
2015.58,9022.317
2015.67,9012.596
2015.75,9002.957
2015.83,9000.685
2015.92,9004.087
2016,9004.32
2016.08,9003.959
2016.17,9003.174
2016.25,9000.963
2016.33,9046.912
2016.42,9042.672
2016.5,9039.705
2016.58,9033.506
2016.67,9025.968
2016.75,9017.104
2016.83,9024.736
2016.92,9041.202
2017,9047.658
2017.08,9051.528
2017.17,9054.943
2017.25,9057.603
2017.33,9094.646
2017.42,9089.06
2017.5,9083.543
2017.58,9074.162
2017.67,9065.706
2017.75,9057.119
2017.83,9054.182
2017.92,9057.507
2018,9058.282
2018.08,9058.642
2018.17,9058.668
2018.25,9058.191
2018.33,9108.518
2018.42,9107.033
2018.5,9107.129
2018.58,9101.611
2018.67,9094.501
2018.75,9086.52
2018.83,9092.684
2018.92,9109.227
2019,9116.99
2019.08,9121.992
2019.17,9125.524
2019.25,9128.559
2019.33,9167.983
2019.42,9165.49
2019.5,9162.327
2019.58,9153.847
2019.67,9143.397
2019.75,9132.758
2019.83,9128.69
2019.92,9130.928
2020,9131.521
2020.08,9131.56
2020.17,9131.188
2020.25,9129.99
2020.33,9175.625
2020.42,9172.777
2020.5,9171.943
2020.58,9169.352
2020.67,9167.41
2020.75,9164.768
2020.83,9171.847
2020.92,9189.028
2021,9195.536
2021.08,9200.098
2021.17,9203.297
2021.25,9207.503
2021.33,9249.229
2021.42,9244.529
2021.5,9242.681
2021.58,9236.99
2021.67,9230.514
2021.75,9223.229
2021.83,9221.474
2021.92,9224.7
2022,9225.096
2022.08,9224.971
2022.17,9224.637
2022.25,9223.695
2022.33,9275.511
2022.42,9272.682
2022.5,9271.65
2022.58,9271.881
2022.67,9267.928
2022.75,9265.506
2022.83,9268.381
2022.92,9286.492
2023,9292.753
