time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,etubesm(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2002.75,295,'C620',14086.7656,3707.4619,195.1290,373.8441,10.5423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61.1745,0.5904,0.0000,0.0000,244.6980,2.3615,0.0000,0.0000,0.0000,6.4600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.3920,3.2580,0.0000,0.0000,0.2167,0.0338,0.0000,0.0000,373.8441,10.5423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.7263,0.5718,0.0000,0.0000,158.0329,3.5125,0.0000,0.0000,6.1600,0.1369,0.0000,0.0000,37.8398,0.8412,0.0000,0.0000
2003.75,295,'SYBN100',14656.6582,3811.4189,200.6005,190.3756,24.4529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,75.9038,2.4487,0.0000,0.0000,303.6153,9.7949,0.0000,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4973,14.5260,0.0000,0.0000,0.1215,0.0187,0.0000,0.0000,190.3756,24.4529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3893,0.3808,0.0000,0.0000,57.6770,2.3390,0.0000,0.0000,2.5000,0.0998,0.0000,0.0000,15.3569,0.6132,0.0000,0.0000
2004.75,295,'C620',15320.9053,4029.2068,212.0629,332.1235,11.7788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.4257,0.8068,0.0000,0.0000,265.7026,3.2272,0.0000,0.0000,0.0000,12.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5167,98.4742,0.0000,0.0000,0.3089,0.0441,0.0000,0.0000,332.1235,11.7788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.9543,0.5820,0.0000,0.0000,159.4334,3.5753,0.0000,0.0000,5.3611,0.1209,0.0000,0.0000,32.9327,0.7425,0.0000,0.0000
2005.75,295,'SYBN100',15896.8008,4140.1118,217.9001,155.2795,22.0353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,84.1226,2.9544,0.0000,0.0000,336.4904,11.8177,0.0000,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.2282,0.0335,0.0000,0.0000,155.2795,22.0353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8764,0.3595,0.0000,0.0000,54.5267,2.2085,0.0000,0.0000,2.7703,0.1103,0.0000,0.0000,17.0176,0.6773,0.0000,0.0000
2006.75,295,'C620',16496.5195,4352.4526,229.0758,294.9989,11.0751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.9448,0.7830,0.0000,0.0000,243.7793,3.1320,0.0000,0.0000,0.0000,12.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1716,0.0218,0.0000,0.0000,294.9989,11.0751,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5826,0.5518,0.0000,0.0000,151.0077,3.3897,0.0000,0.0000,5.7639,0.1302,0.0000,0.0000,35.4066,0.7996,0.0000,0.0000
2007.75,295,'SYBN100',17118.7871,4473.2656,235.4346,248.9102,29.2956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,74.6731,2.1762,0.0000,0.0000,298.6922,8.7050,0.0000,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.9490,12.4030,0.0000,0.0000,0.6023,0.0756,0.0000,0.0000,248.9102,29.2956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.5154,0.4287,0.0000,0.0000,64.5945,2.6337,0.0000,0.0000,3.1738,0.1278,0.0000,0.0000,19.4964,0.7849,0.0000,0.0000
2008.75,295,'C620',17810.5273,4693.6514,247.0337,360.3969,11.1713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.2688,0.7041,0.0000,0.0000,265.0751,2.8164,0.0000,0.0000,0.0000,12.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.3083,2.4859,0.0000,0.0000,0.6291,0.0667,0.0000,0.0000,360.3969,11.1713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.0912,0.5815,0.0000,0.0000,160.2747,3.5723,0.0000,0.0000,5.6003,0.1250,0.0000,0.0000,34.4016,0.7681,0.0000,0.0000
2009.75,295,'SYBN100',18324.7930,4788.2612,252.0131,193.9297,24.2647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,64.0719,2.0018,0.0000,0.0000,256.2875,8.0071,0.0000,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8485,0.0187,0.0000,0.0000,0.2312,0.0214,0.0000,0.0000,193.9297,24.2647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9353,0.3663,0.0000,0.0000,54.8882,2.2500,0.0000,0.0000,2.1126,0.0858,0.0000,0.0000,12.9772,0.5268,0.0000,0.0000
2010.75,295,'C620',19055.4766,5021.2866,264.2779,396.9299,12.8873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,66.7473,0.7421,0.0000,0.0000,266.9890,2.9686,0.0000,0.0000,0.0000,12.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.4368,0.5547,0.0000,0.0000,0.4651,0.0408,0.0000,0.0000,396.9299,12.8873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.1449,0.6085,0.0000,0.0000,166.7475,3.7379,0.0000,0.0000,6.3074,0.1421,0.0000,0.0000,38.7456,0.8731,0.0000,0.0000
2011.75,295,'SYBN100',19584.5293,5116.2280,269.2747,211.6188,25.2617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.4856,1.8766,0.0000,0.0000,253.9425,7.5063,0.0000,0.0000,0.0000,2.4800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0000,0.1687,0.0127,0.0000,0.0000,211.6188,25.2617,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6229,0.3512,0.0000,0.0000,52.9692,2.1575,0.0000,0.0000,2.3282,0.0935,0.0000,0.0000,14.3015,0.5742,0.0000,0.0000
