    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 2002.0000    1    -5.17   -16.11     0.00       0.0305       0.0722       6.3200       2.5399    1921.7135
 2002.0000    2    -6.44   -15.72     0.00       0.0247       0.0583       6.2394       2.0619    1627.8967
 2002.0000    3    -5.83   -16.67     0.00       0.0246       0.0579       6.1664       2.0536    1420.3428
 2002.0000    4     1.33   -15.61     0.00       0.0245       0.0578       6.1672       2.0454    1303.6862
 2002.0000    5     6.89    -5.28     0.00       0.0244       0.0582       6.3275       2.0372    1362.5148
 2002.0000    6     8.50    -0.22     0.00       0.0416       0.1000       6.4443       2.0517    1461.6518
 2002.0000    7     0.94   -14.39     0.00       0.0487       0.1176       6.2661       2.0752    1291.3977
 2002.0000    8     3.94   -13.56     0.00       0.0555       0.1354       6.2812       2.1073    1205.9961
 2002.0000    9    17.11     0.89     0.00       0.0685       0.1700       6.5434       2.1558    1347.8477
 2002.0000   10    13.11     2.00     0.00       0.0740       0.1828       6.5618       2.2106    1446.1052
 2002.0000   11     8.89    -4.94     0.00       0.0760       0.1871       6.4730       2.2669    1432.9880
 2002.0000   12    13.17    -4.94     0.00       0.0786       0.1928       6.4774       2.3256    1436.2401
 2002.0000   13     8.44    -0.67     0.00       0.0825       0.2018       6.5099       2.3882    1473.9206
 2002.0000   14    11.67    -0.56     0.00       0.0867       0.2115       6.5254       2.4550    1514.2746
 2002.0000   15     3.72    -1.72     0.00       0.0892       0.2172       6.4893       2.5239    1508.7003
 2002.0000   16     0.00    -6.72     0.00       0.0890       0.2161       6.4106       2.5912    1435.1806
 2002.0000   17     1.06    -8.39     0.00       0.0885       0.2144       6.3734       2.6564    1362.0676
 2002.0000   18     6.44    -8.11     0.00       0.0890       0.2154       6.3744       2.7211    1319.4656
 2002.0000   19    -2.00   -10.78     0.23       0.0915       0.0000       6.3862       2.7876    1321.8461
 2002.0000   20     3.06    -5.83     0.00       0.0914       0.0000       6.3765       2.8528    1327.2260
 2002.0000   21     5.89    -4.94     0.00       0.0737       0.1704       6.2644       2.8934    1307.8466
 2002.0000   22    13.28    -3.67     0.00       0.0873       0.2056       6.3684       2.9511    1333.3490
 2002.0000   23    15.00    -4.39     0.00       0.0991       0.2381       6.4403       3.0232    1349.2988
 2002.0000   24     4.44   -11.06     0.00       0.0989       0.2391       6.3418       3.0936    1254.4250
 2002.0000   25     8.11   -10.78     0.00       0.0985       0.2378       6.3385       3.1621    1203.0399
 2002.0000   26    15.78    -0.56     0.00       0.1047       0.2528       6.4825       3.2374    1283.5997
 2002.0000   27    19.78     3.72     0.00       0.1139       0.2747       6.5757       3.3233    1411.3590
 2002.0000   28    16.28    -7.50     0.00       0.1150       0.2773       6.4606       3.4089    1382.1343
 2002.0000   29    -3.44    -7.56     0.00       0.1129       0.2720       6.3746       3.4901    1296.6657
 2002.0000   30    -5.56    -8.67     0.00       0.1107       0.2664       6.3334       3.5669    1215.2997
 2002.0000   31    -3.00    -8.78     0.63       0.0426       0.0000       6.3821       3.5524    1220.2086
 2002.0834   32    -2.61   -13.22     0.63       0.0641       0.0000       6.3662       5.3457    1348.4411
 2002.0834   33    -1.89   -13.83     0.00       0.1453       0.0000       6.3545       5.4313    1345.5783
 2002.0834   34     3.44   -10.50     0.00       0.1487       0.0000       6.3592       5.5197    1356.9020
 2002.0834   35     2.89   -16.39     0.00       0.1512       0.0000       6.3386       5.6096    1353.6207
 2002.0834   36    -5.17   -17.83     0.00       0.1526       0.0000       6.3092       5.6996    1333.8172
 2002.0834   37     1.33   -11.83     0.00       0.1556       0.0000       6.3196       5.7917    1339.0529
 2002.0834   38     1.33    -4.22     0.00       0.1594       0.0000       6.3269       5.8871    1355.6698
 2002.0834   39     5.72    -4.39     0.00       0.1470       0.0000       6.2387       5.9643    1363.2804
 2002.0834   40     7.61     0.72     0.00       0.0713       0.0000       5.8744       5.9403    1393.8999
 2002.0834   41     4.06    -4.00     0.94       0.0710       0.0000       5.8548       5.9162    1397.4699
 2002.0834   42    -1.11    -6.83     0.00       0.0707       0.0000       5.8326       5.8924    1382.7804
