    time       N2Oflux        NOflux        N2flux      CH4_oxid           NIT      ANNPPT
 2002.92      0.321553      0.225229      0.057766      0.205799     16.789628    70.357986
 2003.92      0.226330      0.152052      0.048808      0.194633     10.048059    62.102993
 2004.92      0.361645      0.223513      0.022923      0.196608     21.843683    76.860405
 2005.92      0.266764      0.169953      0.108894      0.211484     12.085310    70.789780
 2006.92      0.410966      0.279605      0.033745      0.183285     19.884852    75.260223
 2007.92      0.294295      0.182948      0.056232      0.184931     11.936448   112.775993
 2008.92      0.377730      0.224861      0.094848      0.178949     16.370264    98.018547
 2009.92      0.216159      0.143480      0.093556      0.175432      8.341069    74.142586
 2010.92      0.322615      0.171629      0.074108      0.174004     16.579847    86.969589
 2011.92      0.169351      0.110725      0.067809      0.193150      7.009720    72.948776
 2012.92      0.206943      0.142840      0.036713      0.197013     10.075852    66.497192
 2013.92      0.166870      0.114776      0.029498      0.186265      5.924311    72.466202
 2014.92      0.320236      0.192398      0.054510      0.186794     14.589057    82.803986
 2015.92      0.229244      0.148702      0.191207      0.162124      8.702732   124.866386
 2016.92      0.307706      0.184351      0.090917      0.172501     15.275496   109.118408
 2017.92      0.184524      0.125690      0.121280      0.177891      7.501302    90.246208
 2018.92      0.334525      0.171861      0.071409      0.167616     14.843796    99.186951
 2019.92      0.183416      0.109689      0.114599      0.164326      7.593481   110.515388
 2020.92      0.191751      0.120323      0.069625      0.193350     10.587636    59.080410
 2021.92      0.161227      0.121529      0.090170      0.189386      6.354743    83.489799
 2022.92      0.194849      0.131422      0.017692      0.210413     10.733972    66.243210
